,pokemon_id,lose_battle,win_battle,battle_num,win_rate
0,1,74,32.0,106.0,30.19
1,2,55,38.0,93.0,40.86
2,3,38,73.0,111.0,65.77
3,4,47,54.0,101.0,53.47
4,5,45,42.0,87.0,48.28
5,6,38,51.0,89.0,57.3
6,7,13,98.0,111.0,88.29
7,8,17,97.0,114.0,85.09
8,9,18,90.0,108.0,83.33
9,10,76,16.0,92.0,17.39
10,11,65,44.0,109.0,40.37
11,13,52,64.0,116.0,55.17
12,14,83,14.0,97.0,14.43
13,15,89,11.0,100.0,11.0
14,16,38,55.0,93.0,59.14
15,17,65,23.0,88.0,26.14
16,18,91,15.0,106.0,14.15
17,19,37,67.0,104.0,64.42
18,20,2,90.0,92.0,97.83
19,21,63,39.0,102.0,38.24
20,22,44,49.0,93.0,52.69
21,23,14,86.0,100.0,86.0
22,24,6,90.0,96.0,93.75
23,25,62,50.0,112.0,44.64
24,26,34,80.0,114.0,70.18
25,27,56,51.0,107.0,47.66
26,28,17,76.0,93.0,81.72
27,29,68,35.0,103.0,33.98
28,30,42,61.0,103.0,59.22
29,31,34,69.0,103.0,66.99
30,32,15,87.0,102.0,85.29
31,34,39,46.0,85.0,54.12
32,35,84,15.0,99.0,15.15
33,36,72,48.0,120.0,40.0
34,37,50,48.0,98.0,48.98
35,38,86,28.0,114.0,24.56
36,39,62,39.0,101.0,38.61
37,40,49,62.0,111.0,55.86
38,41,95,16.0,111.0,14.41
39,42,58,43.0,101.0,42.57
40,43,57,46.0,103.0,44.66
41,44,18,79.0,97.0,81.44
42,45,97,14.0,111.0,12.61
43,47,71,42.0,113.0,37.17
44,48,24,74.0,98.0,75.51
45,49,99,7.0,106.0,6.6
46,50,75,22.0,97.0,22.68
47,51,68,38.0,106.0,35.85
48,52,97,11.0,108.0,10.19
49,53,106,23.0,129.0,17.83
50,54,88,27.0,115.0,23.48
51,55,39,71.0,110.0,64.55
52,56,42,55.0,97.0,56.7
53,57,19,83.0,102.0,81.37
54,58,37,77.0,114.0,67.54
55,59,12,87.0,99.0,87.88
56,60,68,41.0,109.0,37.61
57,61,28,65.0,93.0,69.89
58,62,54,46.0,100.0,46.0
59,63,19,62.0,81.0,76.54
60,64,53,44.0,97.0,45.36
61,65,18,77.0,95.0,81.05
62,67,29,69.0,98.0,70.41
63,68,48,55.0,103.0,53.4
64,69,61,29.0,90.0,32.22
65,70,35,67.0,102.0,65.69
66,71,27,90.0,117.0,76.92
67,72,19,70.0,89.0,78.65
68,73,100,17.0,117.0,14.53
69,74,78,21.0,99.0,21.21
70,75,53,38.0,91.0,41.76
71,76,66,20.0,86.0,23.26
72,77,60,37.0,97.0,38.14
73,79,65,65.0,130.0,50.0
74,80,16,79.0,95.0,83.16
75,81,97,15.0,112.0,13.39
76,82,88,23.0,111.0,20.72
77,83,66,40.0,106.0,37.74
78,84,19,72.0,91.0,79.12
79,85,12,69.0,81.0,85.19
80,86,89,18.0,107.0,16.82
81,87,85,14.0,99.0,14.14
82,88,80,11.0,91.0,12.09
83,89,98,16.0,114.0,14.04
84,91,52,38.0,90.0,42.22
85,92,37,71.0,108.0,65.74
86,93,21,98.0,119.0,82.35
87,94,68,21.0,89.0,23.6
88,95,54,58.0,112.0,51.79
89,96,86,20.0,106.0,18.87
90,97,72,43.0,115.0,37.39
91,98,70,16.0,86.0,18.6
92,99,52,52.0,104.0,50.0
93,100,52,51.0,103.0,49.51
94,101,27,67.0,94.0,71.28
95,102,22,70.0,92.0,76.09
96,103,16,91.0,107.0,85.05
97,104,55,48.0,103.0,46.6
98,105,77,24.0,101.0,23.76
99,106,46,46.0,92.0,50.0
100,107,80,32.0,112.0,28.57
101,108,31,45.0,76.0,59.21
102,109,41,55.0,96.0,57.29
103,110,18,80.0,98.0,81.63
104,111,77,26.0,103.0,25.24
105,112,45,29.0,74.0,39.19
106,113,102,22.0,124.0,17.74
107,114,66,31.0,97.0,31.96
108,115,37,67.0,104.0,64.42
109,116,45,78.0,123.0,63.41
110,117,90,19.0,109.0,17.43
111,118,99,14.0,113.0,12.39
112,119,58,47.0,105.0,44.76
113,120,71,24.0,95.0,25.26
114,121,49,40.0,89.0,44.94
115,122,67,14.0,81.0,17.28
116,123,65,41.0,106.0,38.68
117,124,27,67.0,94.0,71.28
118,125,19,88.0,107.0,82.24
119,126,58,47.0,105.0,44.76
120,127,30,64.0,94.0,68.09
121,128,46,47.0,93.0,50.54
122,129,47,45.0,92.0,48.91
123,130,52,68.0,120.0,56.67
124,131,12,96.0,108.0,88.89
125,132,50,61.0,111.0,54.95
126,133,12,98.0,110.0,89.09
127,134,29,78.0,107.0,72.9
128,135,11,92.0,103.0,89.32
129,136,28,76.0,104.0,73.08
130,137,32,67.0,99.0,67.68
131,138,14,80.0,94.0,85.11
132,139,10,76.0,86.0,88.37
133,140,90,17.0,107.0,15.89
134,141,41,65.0,106.0,61.32
135,142,38,79.0,117.0,67.52
136,143,59,51.0,110.0,46.36
137,145,49,27.0,76.0,35.53
138,146,48,53.0,101.0,52.48
139,147,9,101.0,110.0,91.82
140,148,53,57.0,110.0,51.82
141,149,83,19.0,102.0,18.63
142,150,85,18.0,103.0,17.48
143,151,70,39.0,109.0,35.78
144,152,73,46.0,119.0,38.66
145,153,27,60.0,87.0,68.97
146,154,3,109.0,112.0,97.32
147,155,1,106.0,107.0,99.07
148,156,62,36.0,98.0,36.73
149,157,37,77.0,114.0,67.54
150,158,22,71.0,93.0,76.34
151,159,27,82.0,109.0,75.23
152,160,61,35.0,96.0,36.46
153,161,43,45.0,88.0,51.14
154,162,43,71.0,114.0,62.28
155,163,5,116.0,121.0,95.87
156,164,8,98.0,106.0,92.45
157,165,5,97.0,102.0,95.1
158,166,15,75.0,90.0,83.33
159,167,72,20.0,92.0,21.74
160,168,47,42.0,89.0,47.19
161,169,30,72.0,102.0,70.59
162,170,44,47.0,91.0,51.65
163,171,44,73.0,117.0,62.39
164,172,12,79.0,91.0,86.81
165,173,81,27.0,108.0,25.0
166,174,58,51.0,109.0,46.79
167,175,43,70.0,113.0,61.95
168,176,85,6.0,91.0,6.59
169,177,37,76.0,113.0,67.26
170,178,60,29.0,89.0,32.58
171,179,58,54.0,112.0,48.21
172,180,74,22.0,96.0,22.92
173,181,35,69.0,104.0,66.35
174,182,103,12.0,115.0,10.43
175,184,9,92.0,101.0,91.09
176,185,41,48.0,89.0,53.93
177,186,47,50.0,97.0,51.55
178,187,49,31.0,80.0,38.75
179,188,81,7.0,88.0,7.95
180,189,86,5.0,91.0,5.49
181,190,86,3.0,89.0,3.37
182,191,77,25.0,102.0,24.51
183,192,41,52.0,93.0,55.91
184,193,29,70.0,99.0,70.71
185,194,97,19.0,116.0,16.38
186,195,70,17.0,87.0,19.54
187,196,63,31.0,94.0,32.98
188,197,76,27.0,103.0,26.21
189,198,79,24.0,103.0,23.3
190,199,78,15.0,93.0,16.13
191,200,61,34.0,95.0,35.79
192,201,69,26.0,95.0,27.37
193,202,43,45.0,88.0,51.14
194,203,60,39.0,99.0,39.39
195,204,45,53.0,98.0,54.08
196,205,15,92.0,107.0,85.98
197,206,30,62.0,92.0,67.39
198,207,78,10.0,88.0,11.36
199,208,101,20.0,121.0,16.53
200,209,26,70.0,96.0,72.92
201,210,95,4.0,99.0,4.04
202,211,87,30.0,117.0,25.64
203,212,24,97.0,121.0,80.17
204,213,53,57.0,110.0,51.82
205,214,24,107.0,131.0,81.68
206,215,82,28.0,110.0,25.45
207,216,46,73.0,119.0,61.34
208,217,75,22.0,97.0,22.68
209,218,94,17.0,111.0,15.32
210,219,43,63.0,106.0,59.43
211,220,70,14.0,84.0,16.67
212,221,65,32.0,97.0,32.99
213,222,90,20.0,110.0,18.18
214,223,34,79.0,113.0,69.91
215,224,101,24.0,125.0,19.2
216,225,79,42.0,121.0,34.71
217,226,95,18.0,113.0,15.93
218,227,66,28.0,94.0,29.79
219,228,37,86.0,123.0,69.92
220,229,42,57.0,99.0,57.58
221,230,48,62.0,110.0,56.36
222,231,103,,,
223,232,29,71.0,100.0,71.0
224,233,40,57.0,97.0,58.76
225,234,5,96.0,101.0,95.05
226,235,71,22.0,93.0,23.66
227,237,96,4.0,100.0,4.0
228,238,95,9.0,104.0,8.65
229,239,81,29.0,110.0,26.36
230,240,58,34.0,92.0,36.96
231,241,93,22.0,115.0,19.13
232,242,64,53.0,117.0,45.3
233,243,61,26.0,87.0,29.89
234,244,50,57.0,107.0,53.27
235,245,46,58.0,104.0,55.77
236,246,43,55.0,98.0,56.12
