,category,move_name,move_num,move_rate
0,poison,absorb,9,17.65
1,poison,acid,12,23.53
2,poison,acid-armor,3,5.88
3,poison,acid-spray,12,23.53
4,poison,acrobatics,4,7.84
5,poison,acupressure,1,1.96
6,poison,aerial-ace,6,11.76
7,poison,after-you,5,9.8
8,poison,agility,8,15.69
9,poison,air-cutter,3,5.88
10,poison,amnesia,6,11.76
11,poison,aqua-jet,1,1.96
12,poison,aqua-ring,1,1.96
13,poison,aqua-tail,5,9.8
14,poison,aromatherapy,2,3.92
15,poison,assurance,5,9.8
16,poison,astonish,4,7.84
17,poison,attract,47,92.16
18,poison,aurora-beam,1,1.96
19,poison,autotomize,1,1.96
20,poison,barrier,2,3.92
21,poison,baton-pass,3,5.88
22,poison,beat-up,3,5.88
23,poison,belch,12,23.53
24,poison,bide,29,56.86
25,poison,bind,12,23.53
26,poison,bite,5,9.8
27,poison,blizzard,7,13.73
28,poison,block,4,7.84
29,poison,body-slam,22,43.14
30,poison,bounce,3,5.88
31,poison,brick-break,5,9.8
32,poison,brine,3,5.88
33,poison,brutal-swing,6,11.76
34,poison,bubble,2,3.92
35,poison,bubble-beam,5,9.8
36,poison,bug-bite,14,27.45
37,poison,bug-buzz,2,3.92
38,poison,bulldoze,7,13.73
39,poison,bullet-seed,14,27.45
40,poison,captivate,37,72.55
41,poison,charge-beam,1,1.96
42,poison,charm,4,7.84
43,poison,chip-away,2,3.92
44,poison,clear-smog,9,17.65
45,poison,coil,3,5.88
46,poison,confide,49,96.08
47,poison,confuse-ray,5,9.8
48,poison,confusion,4,7.84
49,poison,constrict,5,9.8
50,poison,cotton-spore,2,3.92
51,poison,counter,7,13.73
52,poison,covet,3,5.88
53,poison,cross-poison,2,3.92
54,poison,crunch,5,9.8
55,poison,curse,33,64.71
56,poison,cut,22,43.14
57,poison,dark-pulse,12,23.53
58,poison,dazzling-gleam,13,25.49
59,poison,defense-curl,14,27.45
60,poison,defog,3,5.88
61,poison,destiny-bond,8,15.69
62,poison,detect,4,7.84
63,poison,dig,12,23.53
64,poison,disable,9,17.65
65,poison,dive,3,5.88
66,poison,double-edge,33,64.71
67,poison,double-hit,1,1.96
68,poison,double-kick,4,7.84
69,poison,double-slap,2,3.92
70,poison,double-team,48,94.12
71,poison,dragon-pulse,1,1.96
72,poison,dragon-tail,2,3.92
73,poison,drain-punch,6,11.76
74,poison,dream-eater,6,11.76
75,poison,drill-run,4,7.84
76,poison,dynamic-punch,5,9.8
77,poison,earthquake,7,13.73
78,poison,echoed-voice,10,19.61
79,poison,electroweb,7,13.73
80,poison,embargo,4,7.84
81,poison,encore,3,5.88
82,poison,endeavor,5,9.8
83,poison,endure,38,74.51
84,poison,energy-ball,21,41.18
85,poison,explosion,13,25.49
86,poison,extrasensory,1,1.96
87,poison,facade,49,96.08
88,poison,false-swipe,2,3.92
89,poison,feint,1,1.96
90,poison,feint-attack,2,3.92
91,poison,fell-stinger,5,9.8
92,poison,final-gambit,1,1.96
93,poison,fire-blast,4,7.84
94,poison,fire-fang,1,1.96
95,poison,fire-punch,8,15.69
96,poison,fissure,2,3.92
97,poison,flail,2,3.92
98,poison,flamethrower,5,9.8
99,poison,flash,24,47.06
100,poison,flatter,4,7.84
101,poison,fling,8,15.69
102,poison,focus-blast,4,7.84
103,poison,focus-energy,6,11.76
104,poison,focus-punch,3,5.88
105,poison,foresight,2,3.92
106,poison,foul-play,8,15.69
107,poison,frenzy-plant,2,3.92
108,poison,frustration,49,96.08
109,poison,fury-attack,5,9.8
110,poison,fury-cutter,7,13.73
111,poison,fury-swipes,4,7.84
112,poison,gastro-acid,13,25.49
113,poison,giga-drain,37,72.55
114,poison,giga-impact,20,39.22
115,poison,glare,3,5.88
116,poison,grass-knot,16,31.37
117,poison,grass-pledge,4,7.84
118,poison,grass-whistle,3,5.88
119,poison,grassy-terrain,4,7.84
120,poison,growl,7,13.73
